"RowIndex","Prediction"
1,"Dropout"
2,"Enrolled"
3,"Graduate"
4,"Enrolled"
5,"Dropout"
6,"Graduate"
7,"Graduate"
8,"Graduate"
9,"Enrolled"
10,"Enrolled"
11,"Graduate"
12,"Graduate"
13,"Graduate"
14,"Enrolled"
15,"Dropout"
16,"Enrolled"
17,"Graduate"
18,"Graduate"
19,"Enrolled"
20,"Graduate"
21,"Graduate"
22,"Dropout"
23,"Dropout"
24,"Graduate"
25,"Dropout"
26,"Dropout"
27,"Dropout"
28,"Graduate"
29,"Graduate"
30,"Graduate"
31,"Graduate"
32,"Graduate"
33,"Dropout"
34,"Enrolled"
35,"Dropout"
36,"Dropout"
37,"Dropout"
38,"Graduate"
39,"Graduate"
40,"Graduate"
41,"Graduate"
42,"Graduate"
43,"Graduate"
44,"Graduate"
45,"Graduate"
46,"Graduate"
47,"Enrolled"
48,"Enrolled"
49,"Enrolled"
50,"Graduate"
51,"Graduate"
52,"Graduate"
53,"Dropout"
54,"Dropout"
55,"Graduate"
56,"Enrolled"
57,"Enrolled"
58,"Enrolled"
59,"Enrolled"
60,"Enrolled"
61,"Dropout"
62,"Graduate"
63,"Dropout"
64,"Graduate"
65,"Dropout"
66,"Graduate"
67,"Enrolled"
68,"Dropout"
69,"Graduate"
70,"Enrolled"
71,"Dropout"
72,"Graduate"
73,"Graduate"
74,"Graduate"
75,"Dropout"
76,"Graduate"
77,"Graduate"
78,"Graduate"
79,"Dropout"
80,"Dropout"
81,"Dropout"
82,"Graduate"
83,"Dropout"
84,"Dropout"
85,"Dropout"
86,"Graduate"
87,"Graduate"
88,"Dropout"
89,"Dropout"
90,"Dropout"
91,"Graduate"
92,"Enrolled"
93,"Enrolled"
94,"Graduate"
95,"Graduate"
96,"Graduate"
97,"Graduate"
98,"Enrolled"
99,"Dropout"
100,"Dropout"
101,"Graduate"
102,"Enrolled"
103,"Graduate"
104,"Graduate"
105,"Graduate"
106,"Dropout"
107,"Dropout"
108,"Graduate"
109,"Enrolled"
110,"Graduate"
111,"Dropout"
112,"Dropout"
113,"Dropout"
114,"Dropout"
115,"Graduate"
116,"Dropout"
117,"Enrolled"
118,"Graduate"
119,"Graduate"
120,"Enrolled"
121,"Graduate"
122,"Dropout"
123,"Dropout"
124,"Enrolled"
125,"Dropout"
126,"Graduate"
127,"Graduate"
128,"Dropout"
129,"Dropout"
130,"Graduate"
131,"Dropout"
