Year,st,State,Gini,,,
1917,0,United States,0.51,,,
1917,1,Alabama,0.40,,,
1917,3,Arizona,0.40,,,
1917,4,Arkansas,0.38,,,
1917,5,California,0.45,,,
1917,6,Colorado,0.44,,,
1917,7,Connecticut,0.53,,,
1917,8,Delaware,0.73,,,
1917,9,District of Columbia,0.48,,,
1917,10,Florida,0.40,,,
1917,11,Georgia,0.39,,,
1917,13,Idaho,0.35,,,
1917,14,Illinois,0.49,,,
1917,15,Indiana,0.38,,,
1917,16,Iowa,0.30,,,
1917,17,Kansas,0.37,,,
1917,18,Kentucky,0.42,,,
1917,19,Louisiana,0.47,,,
1917,20,Maine,0.48,,,
1917,21,Maryland,0.51,,,
1917,22,Massachusetts,0.58,,,
1917,23,Michigan,0.49,,,
1917,24,Minnesota,0.45,,,
1917,25,Mississippi,0.44,,,
1917,26,Missouri,0.47,,,
1917,27,Montana,0.35,,,
1917,28,Nebraska,0.31,,,
1917,29,Nevada,0.32,,,
1917,30,New Hampshire,0.48,,,
1917,31,New Jersey,0.51,,,
1917,32,New Mexico,0.42,,,
1917,33,New York,0.63,,,
1917,34,North Carolina,0.43,,,
1917,35,North Dakota,0.28,,,
1917,36,Ohio,0.52,,,
1917,37,Oklahoma,0.42,,,
1917,38,Oregon,0.43,,,
1917,39,Pennsylvania,0.56,,,
1917,40,Rhode Island,0.61,,,
1917,41,South Carolina,0.37,,,
1917,42,South Dakota,0.24,,,
1917,43,Tennessee,0.42,,,
1917,44,Texas,0.42,,,
1917,45,Utah,0.42,,,
1917,46,Vermont,0.51,,,
1917,47,Virginia,0.44,,,
1917,48,Washington,0.40,,,
1917,49,West Virginia,0.48,,,
1917,50,Wisconsin,0.44,,,
1917,51,Wyoming,0.43,,,
1918,0,United States,0.44,,,
1918,1,Alabama,0.35,,,
1918,3,Arizona,0.36,,,
1918,4,Arkansas,0.38,,,
1918,5,California,0.42,,,
1918,6,Colorado,0.34,,,
1918,7,Connecticut,0.46,,,
1918,8,Delaware,0.57,,,
1918,9,District of Columbia,0.44,,,
1918,10,Florida,0.38,,,
1918,11,Georgia,0.39,,,
1918,13,Idaho,0.30,,,
1918,14,Illinois,0.45,,,
1918,15,Indiana,0.33,,,
1918,16,Iowa,0.30,,,
1918,17,Kansas,0.32,,,
1918,18,Kentucky,0.41,,,
1918,19,Louisiana,0.47,,,
