TIME_PERIOD,OBS_VALUE_VIC,OBS_VALUE_NSW
1982-04,85.1,147.2
1982-05,85.1,145.6
1982-06,82.8,139.4
1982-07,82.1,142.7
1982-08,81.8,136.8
1982-09,84.6,140.2
1982-10,91.7,141.2
1982-11,97.7,148.7
1982-12,109.3,172.9
1983-01,94.6,147.2
1983-02,88.2,141.8
1983-03,92,144.6
1983-04,85.2,143.2
1983-05,86.8,145.6
1983-06,81.3,142.8
1983-07,85.6,146.6
1983-08,90.5,149.9
1983-09,90.8,150.6
1983-10,92.7,143.8
1983-11,95.8,152.3
1983-12,111.7,175.5
1984-01,92.7,156.1
1984-02,94.4,150.6
1984-03,97.8,161.1
1984-04,92.9,157.6
1984-05,101,170.7
1984-06,92.1,155.5
1984-07,92.5,159.4
1984-08,94.4,163.6
1984-09,90.4,157.2
1984-10,95.7,173.4
1984-11,100.6,175.9
1984-12,112.4,193.5
1985-01,96.3,165.7
1985-02,93.9,149.5
1985-03,98,162.4
1985-04,98.4,167.4
1985-05,101.8,181.7
1985-06,90.8,167.9
1985-07,98.3,184.9
1985-08,107,185.6
1985-09,103.2,182.8
1985-10,111.8,200.1
1985-11,112.3,208
1985-12,126.8,229.4
1986-01,113.8,196.3
1986-02,104.4,177.9
1986-03,109.7,187.3
1986-04,110.2,206
1986-05,118,223
1986-06,108.2,200.3
1986-07,123.5,215.8
1986-08,131.7,216
1986-09,132.9,213.9
1986-10,142.8,224.6
1986-11,138.3,228.4
1986-12,159.5,272.2
1987-01,138.9,217.9
1987-02,130.9,201.3
1987-03,136.3,210
1987-04,142.7,214.3
1987-05,144.2,222.7
1987-06,137.9,216.4
1987-07,149,235.6
1987-08,146.4,231.7
1987-09,146.4,234
1987-10,157.3,235.1
1987-11,155.3,239.1
1987-12,186.5,280.9
1988-01,143.3,234.4
1988-02,146.7,227.7
1988-03,159.6,241.4
1988-04,158.7,230.8
1988-05,151.7,241.2
1988-06,155.7,236.7
1988-07,154,253.9
1988-08,159.9,247.5
1988-09,165.3,242.9
1988-10,167.8,252.7
1988-11,176.4,274.2
1988-12,186.2,301.4
1989-01,167.2,298.2
1989-02,167.9,256.5
1989-03,180.6,265.9
1989-04,179.4,257.4
1989-05,182.9,265.1
1989-06,177.5,284.9
1989-07,183.3,282.6
1989-08,177.4,287.8
1989-09,188.3,288.4
1989-10,203,302.1
1989-11,203.6,312
1989-12,236.8,361.1
1990-01,198.3,339.4
1990-02,183.5,308
1990-03,204.6,323.4
1990-04,183.9,319.1
1990-05,183.5,316.2
1990-06,182.1,305.3
1990-07,193.4,303.2
1990-08,186.7,315.7
1990-09,182.9,303.3
1990-10,185.2,306.7
1990-11,183.1,315.5
1990-12,209.1,356.3
1991-01,187.8,318.7
1991-02,166.9,283.6
1991-03,174.1,297.9
1991-04,169.5,294.8
1991-05,177.7,302.9
1991-06,179,293
1991-07,179,303.4
1991-08,181.2,314.8
1991-09,183.2,332.6
1991-10,183.9,366
1991-11,189,370.9
1991-12,227.5,393.8
1992-01,192.3,345.6
1992-02,184.5,324.1
1992-03,197.9,356
1992-04,195.6,351.1
1992-05,193.9,357.7
1992-06,169.3,330.1
1992-07,177.9,332.5
1992-08,173.4,327.4
1992-09,190.6,325.4
1992-10,192.4,324.5
1992-11,195.4,329.4
1992-12,234,377.3
1993-01,207.4,303.4
1993-02,182.1,289.1
1993-03,191.1,281.2
1993-04,189.8,282.5
1993-05,192.1,278.2
1993-06,185.7,275.2
1993-07,200.2,295.7
1993-08,192.4,293.6
1993-09,195.1,309.6
1993-10,192.5,321.6
1993-11,202.3,338.8
1993-12,235.9,378.1
1994-01,194.1,345.3
1994-02,185.3,311.7
1994-03,194.6,356.9
1994-04,181.8,323.1
1994-05,179.9,328.1
1994-06,180,326.1
1994-07,194.6,352.9
1994-08,193.7,356.8
1994-09,206,353.2
1994-10,225.1,339.8
1994-11,219.9,364.3
1994-12,246.3,403.3
1995-01,222.3,389
1995-02,207.2,358.2
1995-03,238.1,395
1995-04,229,386.1
1995-05,222.4,399.9
1995-06,221.5,373.5
1995-07,225.4,406.9
1995-08,227.4,406
1995-09,233.4,419.4
1995-10,230.2,448.4
1995-11,240.4,462.5
1995-12,259.4,521.3
1996-01,239.1,490.8
1996-02,219,461.9
1996-03,238.4,480.2
1996-04,236.4,464.2
1996-05,235.6,447.8
1996-06,225.8,431.9
1996-07,229.9,434.9
1996-08,228.8,446.4
1996-09,219.2,422.3
1996-10,225.5,443.4
1996-11,233.3,435
1996-12,254.6,471.6
1997-01,242.1,449.6
1997-02,216.1,405.6
1997-03,249.9,439
1997-04,250.8,422.8
1997-05,252.7,431.9
1997-06,235.8,406.2
1997-07,237.5,425.7
1997-08,237.8,436.7
1997-09,235,434
1997-10,243.4,443.6
1997-11,238.5,447.8
1997-12,264.3,483.2
1998-01,241.5,440.1
1998-02,218,379.9
1998-03,245.4,406.5
1998-04,235.8,370.9
1998-05,240.2,395.4
1998-06,226.9,376.3
1998-07,248.4,401.4
1998-08,255.5,382.3
1998-09,248,388.4
1998-10,268,434.7
1998-11,260.5,433
1998-12,284.2,459
1999-01,267.7,461.2
1999-02,248.6,419.6
1999-03,283.3,464.7
1999-04,285.6,470.6
1999-05,299.1,493
1999-06,295.2,444
1999-07,321.5,390.4
1999-08,331.3,407.1
1999-09,340.2,419.8
1999-10,345.6,424.8
1999-11,352.3,426.9
1999-12,392.1,476.9
2000-01,331.1,427.7
2000-02,295.7,402
2000-03,337.2,437.8
2000-04,283.7,438.5
2000-05,308.9,435.3
2000-06,306.3,433.3
2000-07,301.3,481
2000-08,307.6,481
2000-09,296.9,593.5
2000-10,326.2,560.1
2000-11,324.8,517.3
2000-12,359.9,573.2
2001-01,336.3,557.4
2001-02,311.7,501.4
2001-03,358.4,569.1
2001-04,367,501.9
2001-05,354.4,512.9
2001-06,347.5,479.8
2001-07,371.3,505.2
2001-08,391.5,503
2001-09,349.1,495.6
2001-10,361.9,510.5
2001-11,366.2,492.3
2001-12,409.1,540.7
2002-01,385.2,495.4
2002-02,356,433.2
2002-03,399.2,471.3
2002-04,372.7,475.7
2002-05,368.8,482
2002-06,355.6,459.9
2002-07,414.5,481.2
2002-08,410,486.1
2002-09,392.5,470.6
2002-10,377.5,483.7
2002-11,393.1,469
2002-12,441.2,522.6
2003-01,446.4,498.7
2003-02,378.4,431.7
2003-03,418.4,479.8
2003-04,406.2,498.6
2003-05,426.2,515.8
2003-06,399.1,474.2
2003-07,449,502.9
2003-08,437.6,536.4
2003-09,434.9,529.3
2003-10,479.9,576.4
2003-11,473.8,565.9
2003-12,529.9,638.4
2004-01,478.1,584.2
2004-02,457,545.1
2004-03,499.3,584.8
2004-04,471.8,620.8
2004-05,468.5,592.9
2004-06,438.1,551.2
2004-07,468.4,588.9
2004-08,468.4,572.9
2004-09,490.9,594.5
2004-10,473.9,597.3
2004-11,463,574.9
2004-12,509.6,648.1
2005-01,432,575
2005-02,408.1,518.4
2005-03,436.7,541.4
2005-04,439.4,567.6
2005-05,430.9,553.5
2005-06,427.2,548.1
2005-07,451.1,576.3
2005-08,448.6,541.2
2005-09,441.9,573.6
2005-10,474.4,633.1
2005-11,474.2,629.2
2005-12,506.6,686.3
2006-01,468.2,618.2
2006-02,433.3,568.4
2006-03,503.8,633.8
2006-04,501.8,629.6
2006-05,522.5,641.1
2006-06,495.4,629.1
2006-07,507.1,664
2006-08,520.6,656.8
2006-09,513.5,661.9
2006-10,504.3,682.1
2006-11,528.6,690.3
2006-12,584.8,769.7
2007-01,523.9,687.5
2007-02,481.2,641.7
2007-03,545.1,717
2007-04,531.1,696.6
2007-05,510.3,688.6
2007-06,490.1,694.7
2007-07,497.6,704.5
2007-08,526.4,741.7
2007-09,494.6,719
2007-10,540.9,706.5
2007-11,547.9,712.9
2007-12,596.3,761.1
2008-01,539.6,658.2
2008-02,523.1,641.2
2008-03,550.6,666.6
2008-04,541.1,661.4
2008-05,548.6,656.9
2008-06,516.2,635.2
2008-07,541.8,639.4
2008-08,557.8,651.9
2008-09,537.3,615.4
2008-10,591.2,671.7
2008-11,584,648.4
2008-12,673.1,727.2
2009-01,647.8,702.5
2009-02,576,623.3
2009-03,634.5,675.1
2009-04,622.2,709.9
2009-05,631.6,725.3
2009-06,594.2,684.1
2009-07,613.4,748.7
2009-08,642.4,768.5
2009-09,615.6,769.2
2009-10,636.5,874.4
2009-11,654.1,868
2009-12,742,982.9
2010-01,657.9,839.7
2010-02,611.4,765.9
2010-03,704.2,835.6
2010-04,697.6,806.9
2010-05,692,815.8
2010-06,669.7,801
2010-07,724.2,891.9
2010-08,748.9,902.8
2010-09,735.8,888.5
2010-10,705,876.6
2010-11,693.9,871.3
2010-12,806.9,986.7
2011-01,649.4,878
2011-02,597.8,770.7
2011-03,689.6,813.9
2011-04,707.6,791.7
2011-05,699.1,766.9
2011-06,672.5,760.4
2011-07,694,809.9
2011-08,694.7,818.1
2011-09,686.9,836.9
2011-10,682.1,891.5
2011-11,681.5,886
2011-12,761.4,1019.7
2012-01,638.4,899.1
2012-02,594.5,827
2012-03,679.6,879.3
2012-04,632.5,884.5
2012-05,666.8,861.6
2012-06,661.9,844.5
2012-07,676.4,905.8
2012-08,681.5,900.4
2012-09,662.4,868.4
2012-10,684.9,904.7
2012-11,707,911.9
2012-12,750.8,1030.6
2013-01,655.5,901
2013-02,605.2,793.5
2013-03,683.2,858
2013-04,682.8,843.1
2013-05,682,823.2
2013-06,651.6,793.6
2013-07,656.7,857.5
2013-08,664.9,922.1
2013-09,665.7,898.5
2013-10,686,972
2013-11,707.5,1009.4
2013-12,792.2,1163.1
2014-01,721.2,1037.2
2014-02,631.6,946.6
2014-03,725.5,1043.8
2014-04,722.1,1038.2
2014-05,718.8,1033.9
2014-06,693.6,974.6
2014-07,753.8,1055.7
2014-08,784.4,1052.6
2014-09,791.9,1099.8
2014-10,789.5,1097.6
2014-11,778.2,1109.2
2014-12,838.1,1262.7
2015-01,786.6,1117.6
2015-02,689.1,982.4
2015-03,753.4,1106.2
2015-04,737.5,1085.4
2015-05,740.3,1092.4
2015-06,726.1,1076.4
2015-07,780.8,1128.1
2015-08,795,1142.9
2015-09,795.8,1173.8
2015-10,811.7,1214.2
2015-11,832.6,1191.7
2015-12,896.7,1344.6
2016-01,790.8,1203.2
2016-02,732.4,1115.8
2016-03,793.3,1160
2016-04,805.4,1182.8
2016-05,808.9,1155.1
2016-06,769,1110.2
2016-07,828.7,1207.4
2016-08,866.3,1224
2016-09,878.3,1261.4
2016-10,886.3,1271.6
2016-11,879.5,1265.9
2016-12,961.8,1408.2
2017-01,861.4,1256.6
2017-02,753.6,1137.7
2017-03,868.4,1228
2017-04,859.7,1216.5
2017-05,845.2,1231.7
2017-06,828.7,1214.1
2017-07,857.6,1246.2
2017-08,874.1,1255.6
2017-09,872.4,1288.8
2017-10,917.7,1341.2
2017-11,925.7,1327.5
2017-12,1008.1,1461.4
2018-01,887.3,1295.3
2018-02,810.6,1187.6
2018-03,909.7,1298.7
2018-04,898.6,1288.2
2018-05,866.4,1288.7
2018-06,873.1,1265.2
2018-07,916.1,1349.5
2018-08,943.8,1370.7
2018-09,933.8,1354.4
2018-10,960,1358.6
2018-11,981.8,1368.6
2018-12,1066.2,1516.9
2019-01,937.3,1371.8
2019-02,828.1,1212.4
2019-03,948.5,1341.9
2019-04,907.8,1335.2
2019-05,919.1,1333.6
2019-06,893.6,1265.2
2019-07,924.8,1358
2019-08,949.3,1361
2019-09,935.7,1371.9
2019-10,950.4,1411.7
2019-11,979.6,1418.3
2019-12,1075.2,1540
2020-01,951.5,1355.1
2020-02,894.6,1234.1
2020-03,679.4,1037
2020-04,400.6,599.8
2020-05,509.6,816.8
2020-06,642.4,1052.7
2020-07,539.8,1232.1
2020-08,422.7,1132.9
2020-09,468.4,1202.4
2020-10,555.9,1283.7
2020-11,833.8,1277.3
2020-12,999.9,1359.8
2021-01,866.6,1222.2
2021-02,762.2,1147.2
2021-03,971.3,1282.3
2021-04,964.1,1301.2
2021-05,934,1318.8
2021-06,811.4,1213
2021-07,833.2,866.9
2021-08,742.4,760.5
2021-09,663.8,876.1
2021-10,823.7,1173.2
2021-11,1030,1323.6
2021-12,1095.7,1422.9
2022-01,921.7,1237.1
2022-02,971.2,1293.4
2022-03,1127.5,1471.4
2022-04,1128.6,1466.2
2022-05,1161.9,1536.1
